concentration_g_l,surface_tension_mN_m,id
\textcolor{verbatim_color_1}{0.40949,43.73,Polysorbate20.csv}
\textcolor{verbatim_color_1}{0.14797000000000002,43.73,Polysorbate20.csv}
\textcolor{verbatim_color_1}{0.087851,43.73,Polysorbate20.csv}
\textcolor{verbatim_color_1}{0.040554,46.13,Polysorbate20.csv}
\textcolor{verbatim_color_1}{0.019972,49.4,Polysorbate20.csv}
\textcolor{verbatim_color_1}{0.019441,51.4,Polysorbate20.csv}
\textcolor{verbatim_color_1}{0.0089791,55.07,Polysorbate20.csv}
\textcolor{verbatim_color_2}{0.4079,43.78,Polysorbate40.csv}
\textcolor{verbatim_color_2}{0.14911,43.84,Polysorbate40.csv}
\textcolor{verbatim_color_2}{0.08899299999999999,43.78,Polysorbate40.csv}
\textcolor{verbatim_color_2}{0.03972,46.68,Polysorbate40.csv}
\textcolor{verbatim_color_2}{0.019793,49.43,Polysorbate40.csv}
\textcolor{verbatim_color_2}{0.0092199,53.69,Polysorbate40.csv}
\textcolor{verbatim_color_2}{0.0027936,57.4,Polysorbate40.csv}
0.40602,44.6,Polysorbate60.csv
0.14911,44.58,Polysorbate60.csv
0.08899299999999999,44.67,Polysorbate60.csv
0.052587,44.74,Polysorbate60.csv
0.043003,46.37,Polysorbate60.csv
0.030056,47.73,Polysorbate60.csv
0.019793,49.89,Polysorbate60.csv
0.0089437,54.14,Polysorbate60.csv
0.0047317,56.57,Polysorbate60.csv
0.40226999999999996,45.41,Polysorbate80.csv
0.14731,45.56,Polysorbate80.csv
0.086586,45.43,Polysorbate80.csv
0.05799,45.52,Polysorbate80.csv
0.040683,45.47,Polysorbate80.csv
0.033768,45.81,Polysorbate80.csv
0.025564,45.99,Polysorbate80.csv
0.01944,48.0,Polysorbate80.csv
0.0048375,55.5,Polysorbate80.csv
0.39115,46.05,Polysorbate85.csv
0.15186,46.17,Polysorbate85.csv
0.083074,46.17,Polysorbate85.csv
0.054203999999999995,46.19,Polysorbate85.csv
0.03972,47.73,Polysorbate85.csv
0.034611,48.62,Polysorbate85.csv
0.015446000000000001,54.07,Polysorbate85.csv
0.008674700000000002,56.82,Polysorbate85.csv
